 * Serving Flask app 'app'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8000
 * Running on http://192.168.0.2:8000
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 631-326-424
127.0.0.1 - - [27/Aug/2026 17:41:54] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/physics/particle.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/physics/vector2.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/physics/relativeMotion.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/physics/kinematics.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/physics/collision.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/render/canvas.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/render/trajectories.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/physics/closestApproach.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/render/particles.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/render/vectors.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/ui/controls.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/render/labels.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/ui/graphs.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/ui/panels.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/ui/inspector.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/presets/presetManager.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/explain/generator.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/physics/units.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/render/camera.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:43:41] "GET /static/js/render/grid.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/physics/collision.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/physics/particle.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/physics/vector2.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/physics/relativeMotion.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/physics/kinematics.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/physics/closestApproach.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/render/labels.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/render/particles.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/render/vectors.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/render/canvas.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/ui/controls.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/render/trajectories.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/ui/inspector.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/ui/graphs.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/ui/panels.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/presets/presetManager.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/explain/generator.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:08] "GET /static/js/physics/units.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:09] "GET /static/js/render/camera.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:44:09] "GET /static/js/render/grid.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:45:55] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:45:55] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 17:45:55] "GET /static/js/app.js HTTP/1.1" 200 -
